Концентрация кислорода (мг/л) в водоемах- объектах мониторинга в 2014г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;;;;;;
23.08.18;8.38;1.23;6.85;2;7.9;0.77;6.41;2.13;7.8;2.49;;;;
30.08.18;7.72;1.3;6.19;2.04;7.67;0.67;5.98;0.67;7.29;3.59;;;;
18.09.18;8.58;1.03;6.58;1.18;8.39;0.69;5.66;1.92;7.6;3.76;;;;
10.10.18;8.81;1.35;6.28;1.54;8.15;0.25;4.26;0.91;6.47;2.94;;;;
18.10.18;9.27;1.28;6.55;2.75;8.29;0.99;4.98;1.81;7.66;2.44;;;;
25.10.18;9.31;1.41;6.63;2.2;8.19;0.72;5.28;1.48;6.35;2.07;;;;
01.11.18;10.32;1.36;7.8;1.84;10.94;1.04;7.44;2.08;6.4;2.78;;;;
07.11.18;10.94;1.4;9.98;2.81;10.62;0.88;6.51;3.1;8.4;2.1;;;;
15.11.18;12.42;2.87;8.86;2.13;11.05;1.14;9.15;2.19;8.7;4.64;;;;
29.11.18;10.5;2.06;8.96;1.4;9.86;1.29;8.44;3.01;10;5.01;;;;
05.12.18;9.06;1.89;7.82;1.11;8.35;отр;7.92;2.89;6.77;3.33;;;;
13.12.18;6.73;1.1;7.17;1.69;8.5;0.8;4.99;1.5;5.04;1.36;;;;
19.12.18;6.56;1.36;7.9;1.55;9.96;1.02;8;2.3;5.76;2.84;;;;
;;;;;;;;;;;;;;
Концентрация кислорода (мг/л) в водоемах- объектах мониторинга в 2014г.;;;;;;;2019;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;оз.Круглое;БПК-5;оз.Моховское;БПК-5;оз.Калачик;БПК-5
10.01.19;7.41;1.01;7.34;1.79;9.94;1.44;4.94;2.26;4.87;2.26;;;;
23.01.19;8.92;0.8;6.43;1;9.72;1.22;9;2;6.13;2.52;;;;
05.02.19;7.78;0.65;8.47;1.47;9.76;1.49;7.65;2.51;6.72;2.71;;;;
13.02.19;7.57;1.62;7.46;2.61;9.76;1.36;7.76;2.63;4.25;1.72;;;;
26.02.19;7.5;0.9;6.55;2.3;;;7.89;2.39;4.83;1.43;;;;
13.03.19;7.45;отр.;8.63;0.85;9.49;отр.;4.87;2.01;4.62;1.32;3.3;0.66;;
21.03.19;8.25;0.48;9.5;1.53;9.56;0.63;5.55;2.06;7.65;3.89;7.72;1.68;;
04.04.19;9.4;1.9;8.45;1.85;9.39;1.09;6.7;2.66;9.18;3.88;7.86;1.82;;
10.04.19;10.7;2.17;10.6;2.83;9.92;1.52;8.23;2.19;8.54;3.23;8.35;2.18;;
17.04.19;10.51;2.81;9.87;2.66;9.01;1.38;8.13;1.63;8.11;2.1;8.26;2.52;7.46;2.47
23.04.19;9.45;1.8;8.61;1.64;9.2;1.22;9.9;2.4;7.64;3.12;7.35;4.49;8.75;2.26
08.05.19;9.14;2.96;7.33;1.46;8.56;1.44;11.48;8.31;8.67;3.77;9.05;3.54;9.04;2.9
15.05.19;7.96;2.23;7.09;3.26;8.16;1.43;8.01;4.39;7.52;2.63;7.82;3.04;8.09;2.38
23.05.19;9.02;1.32;8.43;2.11;8.55;0.65;8.34;2.94;8.5;1.57;8.22;2.08;8.78;1.19
06.06.19;7.97;2.71;6.43;2.94;7.46;0.81;5.25;3.23;6.42;2.12;5.9;2.88;7.33;2.21
13.06.19;7.5;2.11;5.79;3.45;7.65;0.35;6.22;3.39;6.32;2.61;4.99;2.09;6.05;2.68
19.06.19;7.72;2.12;6;2.47;7.89;0.52;6.05;2.78;7.32;4.81;5.94;2.49;7.6;4.51
27.06.19;7.46;2.03;5.77;2.94;7.05;0.35;6.1;2.76;5.6;3.25;5.27;3.47;5.7;2.31
04.07.19;7.6;1.9;5.84;2.28;7.32;0.49;5.65;2.81;7.58;3.2;5.83;2.3;7.45;2.82
11.07.19;7.77;2.05;5.79;2.39;7.71;0.45;6.76;2.92;8.25;3.75;6.6;2.6;7.77;3.47
18.07.19;7.63;1.6;5.68;2.35;7.43;0.63;6.41;2.13;7.46;4.45;7.32;4.76;7.73;3.8
24.07.19;7.94;2.02;5.63;2.03;7.46;0.43;6.35;2.16;7.64;4.72;8.36;5.03;7.61;4.23
31.07.19;8.78;2.39;7.28;2.1;7.93;0.53;7.27;4.64;8.05;5.89;7.5;3.79;7.76;4.63
22.08.19;7.38;1.36;5.89;3.09;7.88;0.52;6.11;2.95;7.76;2.14;7.19;5.04;7.63;1.9
30.08.19;8.8;1.19;8.75;1.49;8.42;0.72;6.12;1.78;8.43;4.46;5.58;2.65;8.38;3.93
05.09.19;8.83;1.91;8.89;1.06;8.87;0.62;7.79;2.54;8.85;4.13;6.95;3.15;8.95;2.45
02.10.19;9.37;1.82;7.91;0.93;8.12;0.95;6.17;2.6;7.67;4.9;8.34;4.9;8.57;4.71
10.10.19;9.77;2.47;9.07;1.72;7.62;0.62;4.98;2.22;5.22;2.37;6.37;3.19;7.09;4.8
17.10.19;8.07;0.87;7.99;1.5;7.72;0.92;4.67;1.47;5.58;2.84;6.37;2.19;7.23;2.34
24.10.19;9.07;1.28;8.43;1.27;7.5;0.34;4.98;2.2;6.7;3.09;7.78;1.58;8.16;3.05
30.10.19;9.6;1.56;9.33;1.04;8.88;0.79;7.43;2.07;6.13;2.64;8.18;1.92;8.37;3.51
07.11.19;9.72;1.52;9.33;1.3;8.48;0.75;6.84;3.32;6.29;2.82;8.67;1.5;9.07;3.6
